王***8,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:21:33,写的15日保价期间减价好几次各种借口不管、机器应该是重新封装的里面装手机的塑料袋像是开过封的有褶皱
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
x***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 14:35:34,好评！荣耀加油！
殷***4,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 08:32:26,给家人买的，用的还可以
d***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-08 18:54:31,运行速度：还不错，像素一般
t***4,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:51:55,是正品，非常好用
王***8,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:21:33,写的15日保价期间减价好几次各种借口不管、机器应该是重新封装的里面装手机的塑料袋像是开过封的有褶皱
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
x***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 14:35:34,好评！荣耀加油！
殷***4,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 08:32:26,给家人买的，用的还可以
d***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-08 18:54:31,运行速度：还不错，像素一般
t***4,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:51:55,是正品，非常好用
王***8,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:21:33,写的15日保价期间减价好几次各种借口不管、机器应该是重新封装的里面装手机的塑料袋像是开过封的有褶皱
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
x***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 14:35:34,好评！荣耀加油！
殷***4,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 08:32:26,给家人买的，用的还可以
d***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-08 18:54:31,运行速度：还不错，像素一般
t***4,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:51:55,是正品，非常好用
王***8,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:21:33,写的15日保价期间减价好几次各种借口不管、机器应该是重新封装的里面装手机的塑料袋像是开过封的有褶皱
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
x***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 14:35:34,好评！荣耀加油！
殷***4,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 08:32:26,给家人买的，用的还可以
d***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-08 18:54:31,运行速度：还不错，像素一般
t***4,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:51:55,是正品，非常好用
王***8,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:21:33,写的15日保价期间减价好几次各种借口不管、机器应该是重新封装的里面装手机的塑料袋像是开过封的有褶皱
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
x***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 14:35:34,好评！荣耀加油！
殷***4,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-17 08:32:26,给家人买的，用的还可以
d***2,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-08 18:54:31,运行速度：还不错，像素一般
t***4,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:51:55,是正品，非常好用
王***8,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-02-05 08:21:33,写的15日保价期间减价好几次各种借口不管、机器应该是重新封装的里面装手机的塑料袋像是开过封的有褶皱
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
用户昵称,商品型号,评论时间,评论内容
乐***来,网络类型:4G全网通;机身颜色:极光蓝;套餐类型:官方标配;存储容量:6+128GB,2021-04-03 18:09:57,拍照效果：效果还不错 电池续航：用了两天都没用完，非常好 运行速度：速度非常快
彩***6,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 20:10:00,很好，老妈很喜欢
爱***h,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-03-02 08:52:52,满意
天***3,网络类型:4G全网通;机身颜色:幻夜黑;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 18:21:35,拍照效果：挺好的 感觉还可以的 用用在继续说
王***2,网络类型:4G全网通;机身颜色:蓝水翡翠;套餐类型:官方标配;存储容量:6+128GB,2021-02-19 15:07:49,很好的一款手机！服务不错。物流很快！
